1521319789.866000 /muse/acc fff  -308.59424 937.50146 105.46892
1521319789.984000 /muse/eeg ffff  845.5199 835.65 845.5199 857.0347
1521319789.984000 /muse/eeg/quantization iiii  1 1 1 1
1521319789.984000 /muse/eeg ffff  827.4251 840.58496 830.7151 843.87494
1521319789.984000 /muse/eeg ffff  845.5199 834.005 845.5199 842.2299
1521319789.984000 /muse/eeg ffff  814.26526 838.94 852.0998 837.295
1521319789.984000 /muse/eeg ffff  806.04034 830.7151 842.2299 822.4902
1521319789.985000 /muse/eeg ffff  773.14075 825.78015 840.58496 824.13513
1521319789.985000 /muse/eeg ffff  802.7504 842.2299 843.87494 824.13513
1521319789.985000 /muse/eeg ffff  817.55524 837.295 832.36005 829.07007
1521319789.985000 /muse/elements/alpha_relative ffff  0.24896035 0.26504442 0.12477533 0.26963657
1521319789.985000 /muse/elements/beta_relative ffff  0.22131552 0.30218226 0.2662864 0.16491982
1521319789.985000 /muse/elements/delta_relative ffff  0.11725226 0.1483997 0.31510335 0.29059154
1521319789.985000 /muse/elements/gamma_relative ffff  0.22962858 0.1859691 0.15362667 0.057279058
1521319789.985000 /muse/elements/theta_relative ffff  0.18284328 0.09840453 0.14020824 0.21757303
1521319789.986000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521319789.986000 /muse/elements/is_good iiii  1 1 1 1
1521319789.986000 /muse/elements/blink i  0
1521319789.986000 /muse/elements/jaw_clench i  0
1521319789.986000 /muse/elements/touching_forehead i  1
1521319789.986000 /muse/elements/experimental/concentration f  0.0
1521319789.986000 /muse/elements/experimental/mellow f  0.0
1521319789.986000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  -3.2001379 2.0823464 5.923625 10.611238 9.982807 4.839404 4.0783186 6.3226657 8.739555 5.3579946 3.808033 4.911637 5.2650695 -3.6231322 -0.71864897 2.8597922 2.1610508 -2.0211513 -1.5654387 4.871512 7.2957797 3.356046 4.8851485 9.537206 7.6041155 2.6975193 0.90461445 -1.5642573 -1.3327506 -3.993692 -4.8717675 1.2031894 1.4872607 2.6231089 -1.4519012 0.34889117 -6.461473 -2.1547372 2.5437531 1.1962208 1.6585903 2.7856438 -1.779792 -3.4078546 -3.4041567 -4.4690113 0.67080414 2.7694428 0.062061835 -4.4896474 -1.5915427 -1.2427123 -3.4897957 0.4382977 5.2523737 4.323013 -4.125848 -5.9989314 -1.4035473 -7.1437793 -6.7276597 -0.80590236 1.1250542 -5.9755673 -7.788023 -6.451671 -4.217109 -12.219537 -10.8018675 -14.408213 -11.434348 -15.329644 -18.1508 -10.8198 -8.735104 -11.022719 -7.695371 -7.0463476 -6.5693955 -6.160431 -1.9182357 0.3328026 -2.4099445 -10.414495 -6.0421553 0.89979905 1.3968229 -2.4426954 -2.4736295 -1.4561185 -1.6235142 -6.4491563 -2.6900837 -3.7184618 -8.9472 -7.5090923 -5.074077 -3.0666044 -2.4890602 -5.2421393 -5.799147 2.1135755 2.1413329 -3.698935 -12.151345 -9.663067 -10.705649 -3.8605425 0.5540278 -4.384221 -7.7649374 -8.489203 -8.750362 -9.376676 -14.03521 0.68410945 14.298503 12.829861 -5.4013085 -10.161343 -7.4198213 -11.905786 -15.646495 -8.206624 -4.4323144 -9.015453 -9.973802 -11.925451 -16.557339
