1521333253.267000 /muse/acc fff  257.8129 945.31396 128.90645
1521333253.280000 /muse/eeg ffff  820.8452 876.77454 799.46045 804.3954
1521333253.280000 /muse/eeg/quantization iiii  1 1 1 1
1521333253.280000 /muse/eeg ffff  824.13513 880.06445 799.46045 809.3303
1521333253.280000 /muse/eeg ffff  820.8452 878.4195 799.46045 809.3303
1521333253.280000 /muse/eeg ffff  815.9103 880.06445 799.46045 807.68536
1521333253.280000 /muse/eeg ffff  817.55524 876.77454 801.1054 814.26526
1521333253.280000 /muse/eeg ffff  824.13513 875.1295 802.7504 812.6203
1521333253.280000 /muse/eeg ffff  817.55524 876.77454 804.3954 810.9753
1521333253.280000 /muse/eeg ffff  799.46045 878.4195 806.04034 814.26526
1521333253.280000 /muse/eeg ffff  794.5255 878.4195 804.3954 809.3303
1521333253.280000 /muse/eeg ffff  786.3006 876.77454 806.04034 814.26526
1521333253.280000 /muse/eeg ffff  797.8155 878.4195 804.3954 817.55524
1521333253.280000 /muse/eeg ffff  794.5255 880.06445 804.3954 814.26526
1521333253.281000 /muse/elements/alpha_relative ffff  0.33539987 0.15481347 0.07356947 0.20077762
1521333253.281000 /muse/elements/beta_relative ffff  0.11651733 0.048576456 0.056840967 0.22672576
1521333253.281000 /muse/elements/delta_relative ffff  0.35301116 0.70602554 0.7848823 0.3812916
1521333253.281000 /muse/elements/gamma_relative ffff  0.117744 0.016415695 0.014686457 0.09510437
1521333253.281000 /muse/elements/theta_relative ffff  0.07732763 0.07416887 0.07002082 0.096100636
1521333253.281000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521333253.281000 /muse/elements/is_good iiii  1 1 1 1
1521333253.281000 /muse/elements/blink i  0
1521333253.281000 /muse/elements/jaw_clench i  0
1521333253.281000 /muse/elements/touching_forehead i  1
1521333253.281000 /muse/elements/experimental/concentration f  0.0
1521333253.281000 /muse/elements/experimental/mellow f  0.0
1521333253.282000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  4.158406 8.937992 6.9230433 1.1711847 -6.225121 -3.436013 -5.7532425 -7.2380204 -2.8940182 -3.8286948 -6.782503 -4.245964 -0.59796464 -2.3875508 -5.050315 -5.4687033 -9.149463 -10.612566 -5.5523233 -4.3886 -9.142823 -13.5479965 -13.32528 -15.421602 -10.402022 -7.5451474 -10.042899 -10.303486 -10.641543 -14.028103 -14.3782015 -14.050168 -12.285364 -11.829773 -8.899049 -11.273634 -5.647839 -3.7434428 -8.54224 -11.51067 -12.820394 -10.305357 -4.9869933 -6.33632 -10.888945 -9.5232 -13.169142 -10.194155 -9.104008 -10.564421 -9.774911 -17.551657 -12.481774 -10.5574875 -8.352871 -6.591817 -9.970726 -16.497076 -18.827705 -19.897924 -18.824368 -13.16022 -12.459481 -13.731065 -15.453672 -19.461418 -21.19451 -21.52925 -21.60139 -26.580338 -26.550232 -26.991253 -22.676966 -18.201405 -14.020533 -15.470627 -14.122261 -16.425045 -18.04783 -18.488276 -14.149938 -10.768209 -14.074534 -10.755493 -14.591857 -16.83489 -15.432967 -12.377633 -10.128982 -9.228986 -9.688344 -11.52809 -11.534511 -14.916595 -12.195769 -14.827989 -13.636044 -13.256278 -17.193083 -17.701899 -12.839438 -11.443734 -13.653754 -19.538702 -19.178667 -18.440565 -14.534899 -16.457724 -22.456135 -20.307884 -15.649214 -19.91668 -16.243174 -13.052322 -16.141823 -16.734741 -20.883707 -15.531844 -13.544119 -22.139904 -22.756762 -22.127989 -22.142317 -25.480007 -23.873314 -19.450169 -19.783484 -21.265375 -25.826183
1521333253.282000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  10.970137 16.19373 7.9608617 0.37254626 -4.057933 -4.426892 -9.792235 -12.0683975 -9.3254 -7.606159 -4.862526 -8.308424 -10.890588 -13.382043 -13.335141 -16.787077 -13.420481 -15.032632 -11.966822 -12.3010235 -17.777714 -20.21973 -22.606224 -15.130771 -18.635012 -16.104296 -17.823195 -18.46907 -17.592651 -17.378569 -21.26756 -18.893753 -13.749811 -14.528429 -18.298143 -20.56841 -21.006691 -18.473269 -20.973568 -24.618963 -26.036676 -26.969902 -22.157803 -19.452303 -21.787485 -19.927818 -19.324018 -21.367208 -18.415226 -21.094353 -26.400183 -23.14836 -29.981544 -22.211554 -19.791992 -26.000784 -25.821663 -27.080013 -21.723566 -21.713543 -23.742956 -23.28197 -20.510736 -26.51426 -27.765282 -25.763346 -25.999838 -28.85053 -34.159813 -36.13033 -30.175386 -35.323425 -34.90597 -31.931776 -31.915358 -26.561733 -26.692432 -35.829304 -35.495884 -34.012924 -34.980083 -28.282919 -22.925226 -22.517815 -21.06348 -23.332293 -22.774494 -24.918318 -20.720543 -25.684633 -26.072378 -21.722513 -23.912516 -27.423906 -22.7071 -26.963547 -24.998829 -24.870995 -23.134037 -21.846329 -27.179482 -24.882454 -31.611275 -31.600388 -28.665253 -33.542324 -30.018133 -25.688616 -31.390556 -26.21049 -22.703154 -26.506096 -28.045502 -31.922716 -29.317604 -29.49512 -27.07192 -26.211443 -30.867496 -30.745605 -29.76921 -32.205997 -34.198742 -30.055693 -28.065397 -32.20476 -33.109688 -34.26812 -39.618176
