1521324899.707000 /muse/acc fff  -171.87527 972.6578 117.18768
1521324899.867000 /muse/eeg ffff  834.005 838.94 845.5199 838.94
1521324899.867000 /muse/eeg/quantization iiii  1 1 1 1
1521324899.867000 /muse/eeg ffff  838.94 843.87494 847.16486 843.87494
1521324899.867000 /muse/eeg ffff  842.2299 845.5199 847.16486 843.87494
1521324899.867000 /muse/eeg ffff  835.65 845.5199 850.45483 840.58496
1521324899.867000 /muse/eeg ffff  838.94 847.16486 850.45483 842.2299
1521324899.867000 /muse/eeg ffff  824.13513 845.5199 847.16486 842.2299
1521324899.868000 /muse/eeg ffff  834.005 847.16486 850.45483 832.36005
1521324899.868000 /muse/eeg ffff  822.4902 847.16486 845.5199 840.58496
1521324899.868000 /muse/eeg ffff  825.78015 842.2299 843.87494 838.94
1521324899.868000 /muse/eeg ffff  820.8452 840.58496 847.16486 837.295
1521324899.868000 /muse/eeg ffff  830.7151 840.58496 845.5199 842.2299
1521324899.868000 /muse/eeg ffff  829.07007 843.87494 850.45483 834.005
1521324899.868000 /muse/eeg ffff  832.36005 842.2299 847.16486 837.295
1521324899.868000 /muse/eeg ffff  838.94 845.5199 843.87494 840.58496
1521324899.868000 /muse/eeg ffff  837.295 845.5199 840.58496 842.2299
1521324899.868000 /muse/eeg ffff  843.87494 847.16486 840.58496 843.87494
1521324899.868000 /muse/acc fff  -167.96901 964.8453 117.18768
1521324899.868000 /muse/acc fff  -171.87527 964.8453 117.18768
1521324899.868000 /muse/acc fff  -171.87527 968.7515 117.18768
1521324899.868000 /muse/drlref ff  1638709.6 1648387.1
1521324899.868000 /muse/acc fff  -167.96901 968.7515 121.09394
1521324899.868000 /muse/eeg ffff  827.4251 848.8099 840.58496 847.16486
1521324899.868000 /muse/eeg/quantization iiii  1 1 1 1
1521324899.868000 /muse/eeg ffff  835.65 847.16486 845.5199 838.94
1521324899.868000 /muse/eeg ffff  822.4902 845.5199 843.87494 838.94
1521324899.868000 /muse/elements/alpha_relative ffff  0.17500556 0.087180704 0.05613795 0.17250875
1521324899.869000 /muse/elements/beta_relative ffff  0.20630883 0.04253671 0.046694037 0.22185598
1521324899.869000 /muse/elements/delta_relative ffff  0.12306331 0.6386914 0.6826649 0.10329578
1521324899.869000 /muse/elements/gamma_relative ffff  0.18180425 0.022969339 0.014033336 0.24571177
1521324899.869000 /muse/elements/theta_relative ffff  0.31381807 0.20862183 0.20046982 0.2566277
1521324899.869000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521324899.869000 /muse/elements/is_good iiii  1 1 1 1
1521324899.869000 /muse/elements/blink i  0
1521324899.869000 /muse/elements/jaw_clench i  0
1521324899.869000 /muse/elements/touching_forehead i  1
1521324899.869000 /muse/elements/experimental/concentration f  0.010157924
1521324899.869000 /muse/elements/experimental/mellow f  0.0
1521324899.869000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  11.874645 14.636802 14.300364 13.84876 12.491612 9.745151 4.639684 6.709204 1.4082419 1.2033609 -1.6060953 0.56692946 -7.8451076 -2.8949895 -5.6973515 -5.6794987 -8.380581 -7.3621225 -7.953718 -6.8474445 -8.644725 -12.046658 -10.277027 -10.39205 -14.0808115 -11.049954 -11.654662 -10.231339 -16.485218 -14.574711 -8.800648 -7.123308 -10.627728 -13.579869 -7.0002704 -5.501373 -11.722177 -16.504585 -13.000206 -15.132816 -10.086441 -13.445205 -10.605976 -6.5252166 -9.269186 -9.81526 -9.053944 -14.381078 -13.139771 -14.85053 -11.0919285 -12.221637 -10.286806 -9.511583 -5.3115907 -9.365433 -13.42733 -20.16221 -10.636386 -9.840317 -15.741469 -16.119467 -20.498508 -19.19537 -23.175325 -19.574495 -18.234518 -21.203321 -25.458687 -17.813532 -13.659076 -24.781311 -25.875832 -17.335863 -13.775835 -17.79737 -17.029507 -24.86486 -16.423033 -15.180828 -13.018401 -13.423375 -16.440487 -21.532196 -23.613026 -12.18251 -11.76423 -17.07443 -16.088804 -24.561808 -26.430208 -20.431364 -22.995108 -19.540785 -21.74775 -19.641771 -12.349394 -15.2709255 -16.470905 -17.157166 -21.22972 -17.998898 -13.309712 -13.130234 -15.713198 -17.847902 -20.556757 -18.535837 -14.09331 -11.276729 -16.14551 -20.510628 -20.467997 -22.494448 -20.661392 -11.59965 3.1003027 1.8307095 -14.704712 -17.295712 -19.017698 -24.618927 -26.268166 -20.742077 -21.845467 -21.10166 -21.468636 -25.107698 -26.07685
